id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
265687;28/01/2020;terça-feira;15:20:00;GO;153;237;HIDROLINA;Ultrapassagem Indevida;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Desvio Temporário;Não;1;0;1;0;0;0;1;1;-14,81657;-49,29511;SR-GO;DEL1/7;UOP01/GO
265688;28/01/2020;terça-feira;16:45:00;CE;116;25;ITAITINGA;Desobediência às normas de trânsito pelo condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Não Informado;Sim;3;0;2;0;1;0;2;2;-3,966333;-38,51525;SR-CE;DEL16/1;UOP02/CE
265689;16/01/2020;quinta-feira;16:55:00;RO;364;341,9;JI-PARANA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-10,88418;-61,93738;SR-RO;DEL21/2;UOP01/RO
265690;28/01/2020;terça-feira;13:30:00;CE;222;235;SOBRAL;Ultrapassagem Indevida;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;1;0;0;1;0;0;1;1;-3,713653;-40,43544;SR-CE;DEL16/4;UOP01/CE
265691;28/01/2020;terça-feira;15:40:00;SP;381;36;ATIBAIA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;2;0;1;2;-23,09707;-46,57181;SR-SP;DEL6/3;UOP02/SP
265692;28/01/2020;terça-feira;16:30:00;SP;116;227;GUARULHOS;Não guardar distância de segurança;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Viaduto;Sim;2;0;1;0;1;0;1;2;-23,49659;-46,55649;SR-SP;DEL6/1;UOP01/SP
265693;28/01/2020;terça-feira;17:15:00;PR;277;586,2;CASCAVEL;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Simples;Reta;Não;3;0;2;0;1;0;2;2;-24,96495;-53,42105;SR-PR;DEL7/4;UOP01/PR
265694;28/01/2020;terça-feira;17:15:00;PI;343;636,2;JERUMENHA;Defeito na Via;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;5;0;4;0;0;1;4;2;-7,008149;-43,33789;SR-PI;DEL17/3;UOP01/PI
265695;28/01/2020;terça-feira;16:30:00;PE;407;130;PETROLINA;Falta de Atenção à Condução;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;3;0;0;0;2;1;0;3;-9,405367;-40,50435;SR-PE;DEL11/6;UOP01/PE
265696;28/01/2020;terça-feira;17:10:00;PR;277;101,6;CURITIBA;Velocidade Incompatível;Colisão com objeto estático;Sem Vítimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;1;0;0;0;1;0;0;1;-25,4269;-49,38327;SR-PR;DEL7/1;UOP04/PR
265698;28/01/2020;terça-feira;14:20:00;RO;364;439,1;JARU;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;1;2;-10,36005;-62,57398;SR-RO;DEL21/3;UOP02/RO
265699;28/01/2020;terça-feira;17:30:00;PR;476;129;CURITIBA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;2;0;1;0;1;0;1;2;-25,44098;-49,23371;SR-PR;DEL7/1;UOP06/PR
265700;16/01/2020;quinta-feira;12:30:00;MG;381;709,5;NEPOMUCENO;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Curva;Não;2;0;2;0;0;0;2;1;-21,37772;-45,1942;SR-MG;DEL4/4;UOP02/MG
265701;28/01/2020;terça-feira;18:15:00;MG;40;766,8;JUIZ DE FORA;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Simples;Reta;Não;2;0;1;0;1;0;1;1;-21,56884;-43,47868;SR-MG;DEL5;UOP01/MG
265702;28/01/2020;terça-feira;18:20:00;GO;153;504,2;APARECIDA DE GOIANIA;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Desvio Temporário;Sim;3;0;1;1;1;0;2;2;-16,7451;-49,2408;SR-GO;DEL1/1;UOP01/GO
